"CASE_ID","Placement","Housing","BasicNeeds","FSC","PlacementAsY","CloseTimes","Duration"
51053,TRUE,TRUE,TRUE,FALSE,TRUE,2,337
51085,TRUE,TRUE,TRUE,TRUE,FALSE,3,123
51098,TRUE,TRUE,TRUE,TRUE,TRUE,2,274
51129,TRUE,TRUE,TRUE,TRUE,TRUE,4,31
51132,TRUE,TRUE,TRUE,TRUE,TRUE,2,366
51178,TRUE,TRUE,TRUE,FALSE,FALSE,2,245
51184,TRUE,FALSE,TRUE,TRUE,TRUE,2,337
51196,FALSE,TRUE,TRUE,FALSE,TRUE,2,123
51306,FALSE,TRUE,TRUE,FALSE,TRUE,2,123
51334,FALSE,TRUE,TRUE,FALSE,FALSE,2,61
51337,FALSE,FALSE,TRUE,FALSE,FALSE,2,245
51343,TRUE,TRUE,TRUE,TRUE,TRUE,2,60
51388,FALSE,FALSE,FALSE,FALSE,FALSE,2,92
51404,TRUE,FALSE,TRUE,FALSE,FALSE,3,60
51416,FALSE,FALSE,TRUE,FALSE,FALSE,2,213
51473,TRUE,TRUE,TRUE,TRUE,TRUE,2,123
51485,FALSE,FALSE,TRUE,FALSE,FALSE,1,182
51645,FALSE,FALSE,TRUE,FALSE,FALSE,3,306
51650,TRUE,TRUE,TRUE,FALSE,TRUE,2,0
51689,FALSE,TRUE,TRUE,FALSE,FALSE,4,31
51692,FALSE,FALSE,FALSE,FALSE,TRUE,2,214
51693,FALSE,FALSE,FALSE,FALSE,TRUE,2,304
51696,FALSE,FALSE,FALSE,FALSE,FALSE,2,61
51908,FALSE,TRUE,FALSE,FALSE,FALSE,4,366
51910,FALSE,TRUE,TRUE,FALSE,FALSE,1,337
51922,FALSE,FALSE,TRUE,FALSE,FALSE,2,31
51950,TRUE,TRUE,TRUE,TRUE,TRUE,5,62
52005,TRUE,TRUE,FALSE,FALSE,FALSE,2,62
52058,TRUE,TRUE,TRUE,TRUE,FALSE,4,62
52085,FALSE,TRUE,TRUE,TRUE,FALSE,4,62
52145,TRUE,TRUE,TRUE,TRUE,TRUE,3,215
52184,FALSE,TRUE,TRUE,TRUE,FALSE,2,92
52204,FALSE,TRUE,TRUE,FALSE,TRUE,2,366
52223,FALSE,TRUE,TRUE,FALSE,FALSE,3,31
52239,TRUE,TRUE,TRUE,FALSE,TRUE,2,153
52276,FALSE,TRUE,TRUE,FALSE,FALSE,2,0
52283,FALSE,FALSE,FALSE,FALSE,FALSE,2,214
52302,FALSE,FALSE,TRUE,FALSE,FALSE,2,184
52338,FALSE,FALSE,TRUE,FALSE,FALSE,2,184
52343,FALSE,TRUE,TRUE,TRUE,FALSE,2,214
52359,TRUE,TRUE,TRUE,FALSE,TRUE,2,123
52372,TRUE,TRUE,TRUE,FALSE,FALSE,2,62
52375,FALSE,TRUE,TRUE,TRUE,FALSE,2,123
52396,FALSE,FALSE,TRUE,FALSE,FALSE,2,61
52405,FALSE,FALSE,TRUE,FALSE,FALSE,3,62
52485,FALSE,FALSE,TRUE,FALSE,FALSE,4,30
52546,FALSE,FALSE,TRUE,TRUE,FALSE,3,60
52552,FALSE,FALSE,TRUE,FALSE,TRUE,2,275
52761,FALSE,TRUE,TRUE,TRUE,FALSE,3,29
52926,TRUE,TRUE,TRUE,FALSE,FALSE,2,245
52937,TRUE,TRUE,TRUE,FALSE,FALSE,3,31
52947,TRUE,TRUE,FALSE,FALSE,FALSE,4,92
52964,FALSE,TRUE,TRUE,FALSE,TRUE,3,184
52971,FALSE,FALSE,TRUE,TRUE,TRUE,2,275
52976,FALSE,FALSE,TRUE,TRUE,TRUE,2,91
53000,TRUE,FALSE,TRUE,FALSE,FALSE,2,276
53005,FALSE,TRUE,TRUE,FALSE,FALSE,2,122
53054,FALSE,FALSE,FALSE,FALSE,TRUE,2,184
53115,TRUE,TRUE,TRUE,FALSE,FALSE,2,214
53194,FALSE,FALSE,TRUE,FALSE,FALSE,2,29
53200,FALSE,TRUE,TRUE,FALSE,TRUE,2,215
53205,TRUE,TRUE,TRUE,TRUE,TRUE,1,337
53215,FALSE,FALSE,TRUE,FALSE,FALSE,2,61
53264,TRUE,FALSE,TRUE,TRUE,FALSE,2,123
53266,FALSE,TRUE,TRUE,FALSE,TRUE,2,92
53282,TRUE,TRUE,TRUE,FALSE,FALSE,2,337
53305,TRUE,TRUE,TRUE,TRUE,TRUE,2,184
53410,FALSE,FALSE,FALSE,FALSE,FALSE,2,61
53426,FALSE,FALSE,TRUE,FALSE,TRUE,2,62
53432,FALSE,TRUE,TRUE,TRUE,TRUE,2,92
53446,FALSE,TRUE,TRUE,FALSE,FALSE,2,215
53534,TRUE,TRUE,FALSE,TRUE,FALSE,3,31
53561,FALSE,TRUE,TRUE,TRUE,TRUE,2,245
53573,FALSE,TRUE,TRUE,FALSE,FALSE,2,31
53575,FALSE,TRUE,FALSE,TRUE,FALSE,4,306
53603,TRUE,TRUE,TRUE,FALSE,FALSE,2,0
53659,TRUE,FALSE,TRUE,FALSE,TRUE,3,153
53673,FALSE,FALSE,TRUE,TRUE,TRUE,2,245
53679,FALSE,TRUE,TRUE,FALSE,FALSE,1,62
53688,FALSE,FALSE,TRUE,TRUE,FALSE,3,123
53742,TRUE,FALSE,FALSE,FALSE,FALSE,2,215
53793,FALSE,TRUE,TRUE,FALSE,FALSE,3,275
53838,FALSE,FALSE,TRUE,FALSE,FALSE,3,92
53929,TRUE,TRUE,TRUE,FALSE,FALSE,2,30
53948,FALSE,TRUE,TRUE,FALSE,FALSE,2,31
54075,FALSE,TRUE,TRUE,TRUE,FALSE,3,31
