"CASE_ID","Placement","Housing","BasicNeeds","FSC","CASE_ID","TypeCounts","PlacementAsY","CloseTimes","Duration"
50545,FALSE,FALSE,TRUE,FALSE,50545,2,FALSE,3,275
50644,TRUE,TRUE,TRUE,TRUE,50644,5,TRUE,2,123
50647,TRUE,FALSE,TRUE,FALSE,50647,3,FALSE,3,153
50662,FALSE,FALSE,TRUE,FALSE,50662,1,FALSE,3,276
50805,FALSE,TRUE,TRUE,TRUE,50805,5,FALSE,2,123
50813,FALSE,TRUE,TRUE,TRUE,50813,3,FALSE,5,183
50815,TRUE,TRUE,TRUE,FALSE,50815,5,TRUE,3,337
50867,FALSE,TRUE,TRUE,FALSE,50867,3,TRUE,3,153
50874,TRUE,TRUE,TRUE,FALSE,50874,3,TRUE,2,215
50942,FALSE,FALSE,FALSE,FALSE,50942,0,FALSE,2,184
50985,TRUE,TRUE,TRUE,TRUE,50985,4,FALSE,2,61
51053,TRUE,TRUE,TRUE,FALSE,51053,5,TRUE,2,337
51085,TRUE,TRUE,TRUE,TRUE,51085,4,FALSE,3,123
51098,TRUE,TRUE,TRUE,TRUE,51098,5,TRUE,2,274
51129,TRUE,TRUE,TRUE,TRUE,51129,4,TRUE,4,31
51132,TRUE,TRUE,TRUE,TRUE,51132,5,TRUE,2,366
51178,TRUE,TRUE,TRUE,FALSE,51178,2,FALSE,2,245
51184,TRUE,FALSE,TRUE,TRUE,51184,4,TRUE,2,337
51196,FALSE,TRUE,TRUE,FALSE,51196,5,TRUE,2,123
51306,FALSE,TRUE,TRUE,FALSE,51306,3,TRUE,2,123
51334,FALSE,TRUE,TRUE,FALSE,51334,5,FALSE,2,61
51337,FALSE,FALSE,TRUE,FALSE,51337,1,FALSE,2,245
51343,TRUE,TRUE,TRUE,TRUE,51343,5,TRUE,2,60
51388,FALSE,FALSE,FALSE,FALSE,51388,0,FALSE,2,92
51404,TRUE,FALSE,TRUE,FALSE,51404,1,FALSE,3,60
51416,FALSE,FALSE,TRUE,FALSE,51416,3,FALSE,2,213
51473,TRUE,TRUE,TRUE,TRUE,51473,5,TRUE,2,123
51485,FALSE,FALSE,TRUE,FALSE,51485,1,FALSE,1,182
51645,FALSE,FALSE,TRUE,FALSE,51645,4,FALSE,3,306
51650,TRUE,TRUE,TRUE,FALSE,51650,2,TRUE,2,0
51689,FALSE,TRUE,TRUE,FALSE,51689,2,FALSE,4,31
51692,FALSE,FALSE,FALSE,FALSE,51692,0,TRUE,2,214
51693,FALSE,FALSE,FALSE,FALSE,51693,0,TRUE,2,304
51696,FALSE,FALSE,FALSE,FALSE,51696,0,FALSE,2,61
51908,FALSE,TRUE,FALSE,FALSE,51908,1,FALSE,4,366
51910,FALSE,TRUE,TRUE,FALSE,51910,6,FALSE,1,337
51922,FALSE,FALSE,TRUE,FALSE,51922,2,FALSE,2,31
51950,TRUE,TRUE,TRUE,TRUE,51950,6,TRUE,5,62
52005,TRUE,TRUE,FALSE,FALSE,52005,1,FALSE,2,62
52058,TRUE,TRUE,TRUE,TRUE,52058,4,FALSE,4,62
52085,FALSE,TRUE,TRUE,TRUE,52085,4,FALSE,4,62
52145,TRUE,TRUE,TRUE,TRUE,52145,5,TRUE,3,215
52184,FALSE,TRUE,TRUE,TRUE,52184,4,FALSE,2,92
